"ESXe350-201302401-O-SG","3.5 Patch 27",21.02.13,988599
"ESXe350-201206401-O-SG","3.5 Patch 26",14.06.12,725354
"ESXe350-201205401-O-SG","3.5 Patch 25",03.05.12,702112
"ESXe350-201203401-O-SG","3.5 Patch 24",09.03.12,604481
"VMware ESXi 3.5 June 2011 Rollup","3.5 June 2011 Rollup",30.06.11,391406
"ESXe350-201105401-O-SG","3.5 Patch 23",02.06.11,391406
"ESXe350-201012401-O-BG","3.5 Patch 22",07.12.10,317866
"ESXe350-201008401-O-SG","3.5 Patch 21",01.09.10,283373
"ESXe350-201006401-O-SG","3.5 Patch 20",24.06.10,259926
"ESXe350-201003401-O-BG","3.5 Patch 19",29.03.10,238493
"ESXe350-201002401-O-SG","3.5 Patch 18",16.02.10,226117
"ESXe350-200912401-O-BG","3.5 Patch 17",29.12.09,213532
"VMware ESXi 3.5 Update 5","3.5 U5",03.12.09,207095
"ESXe350-200910401-I-SG","3.5 Patch 16",16.10.09,199239
"ESXe350-200908401-I-BG","3.5 Patch 15",31.08.09,184236
"ESXe350-200907401-I-BG","3.5 Patch 14",30.07.09,176894
"ESXe350-200906401-I-BG","3.5 Patch 13",30.06.09,169697
"ESXe350-200905401-I-BG","3.5 Patch 12",28.05.09,163429
"ESXe350-200904401-I-SG","3.5 Patch 11",29.04.09,158874
"VMware ESXi 3.5 Update 4","3.5 U4",30.03.09,153875
"ESXe350-200903411-I-BG","3.5 Patch 10",20.03.09,153480
"ESXe350-200901401-I-SG","3.5 Patch 9",30.01.09,143129
"ESXe350-200811401-I-SG","3.5 Patch 8",02.12.08,130755
"VMware ESXi 3.5 Update 3","3.5 U3",06.11.08,123629
"ESXe350-200809401-I-SG","3.5 Patch 7",03.10.08,120505
"ESXe350-200808501-I-SG","3.5 Patch 6",18.09.08,113338
"VMware ESXi 3.5 Update 2 (reissued)","3.5 U2",13.08.08,110271
"ESXe350-200807812-I-BG","3.5 Patch 5",12.08.08,110180
"VMware ESXi 3.5 Update 2 (timebombed)","3.5 U2",25.07.08,103909
"ESXe350-200805501-I-SG","3.5 Patch 4",03.06.08,94430
"ESXe350-200804401-O-BG","3.5 Patch 3",30.04.08,85332
"VMware ESXi 3.5 Update 1","3.5 U1",10.04.08,82664
"ESXe350-200802401-I-BG","3.5 Patch 2",10.03.08,76563
"VMware ESXi 3.5 Initial Release",03.05.14,10.01.08,70348
"VMware ESXi 3.5 First Public Release",03.05.14,31.12.07,67921
